name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,sex,lifeStage,individualCount,vernacularName,locality,higherClassification,informationWithheld,infraspecificEpithet,identificationRemarks
"Bradypus variegatus Schinz, 1825",-79.546497,8.987403,"cdc,cdround",gbif,4011797263,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:22:12.440+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-02T21:10:21,61,NORTH_AMERICA,Panamá,2023,1,2,2023-01-02,2023-03-09T20:50:19.000+00:00,2023-08-18T13:22:12.440+00:00,https://www.inaturalist.org/observations/145694886,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Kai Squires,Kai Squires,WGS84,Mammalia,PA,Panama,Kai Squires,145694886,squiresk,2023/01/02 9:49 AM,Observations,4011797263,"Panama City, Panama",https://www.inaturalist.org/observations/145694886,47067,145694886,iNaturalist,09:49:00-05:00,wild,324468453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.689333,10.519427,"cdc,cdround",gbif,4091593493,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:19.184+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-31T13:22:05,4,NORTH_AMERICA,Alajuela,2023,1,2,2023-01-02,2023-04-13T01:01:22.000+00:00,2023-08-18T13:41:19.184+00:00,https://www.inaturalist.org/observations/145696593,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Jessica Rae,Wren,WGS84,Mammalia,CR,Costa Rica,Jessica Rae,145696593,altoidsboi,2023/01/02 3:54 PM,Observations,4091593493,"Alajuela Province, San Carlos, Costa Rica",https://www.inaturalist.org/observations/145696593,47067,145696593,iNaturalist,15:54:00-06:00,wild,330896608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-82.156036,9.316584,"cdc,cdround",gbif,4028722131,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:57.655+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-03T18:24:03,75,NORTH_AMERICA,Bocas del Toro,2023,1,3,2023-01-03,2023-02-02T01:16:10.000+00:00,2023-08-18T13:41:57.655+00:00,https://www.inaturalist.org/observations/145767431,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,lucybrown19,lucybrown19,WGS84,Mammalia,PA,Panama,lucybrown19,145767431,lucybrown19,Tue Jan 03 2023 11:36:24 GMT -0500 (EST),Observations,4028722131,"Bocas del Toro, PA-BC, PA",https://www.inaturalist.org/observations/145767431,47067,145767431,iNaturalist,11:36:24-05:00,wild,324686542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.065048,10.44901,"cdc,cdround",gbif,4011771409,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:03.621+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-03T19:44:25,5,NORTH_AMERICA,Heredia,2023,1,3,2023-01-03,2023-01-16T15:12:42.000+00:00,2023-08-18T13:41:03.621+00:00,https://www.inaturalist.org/observations/145772860,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Chris Harrison,Chris Harrison,WGS84,Mammalia,CR,Costa Rica,Chris Harrison,145772860,sandboa,2023-01-03 11:57:43,Observations,4011771409,"Sarapiquí, CR-HE, CR",https://www.inaturalist.org/observations/145772860,47067,145772860,iNaturalist,11:57:43-06:00,wild,324705982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-79.649673,9.061424,"cdc,cdround",gbif,4014910775,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:21:15.469+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-04T02:04:32,365,NORTH_AMERICA,Panamá,2023,1,3,2023-01-03,2023-03-09T20:50:14.000+00:00,2023-08-18T13:21:15.469+00:00,https://www.inaturalist.org/observations/145797456,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Matt Cohen and Elizabeth Hargrave,Matt Cohen and Elizabeth Hargrave,WGS84,Mammalia,PA,Panama,Matt Cohen and Elizabeth Hargrave,145797456,mattandeliz,2023/01/03 9:02 AM,Observations,4014910775,Panama,https://www.inaturalist.org/observations/145797456,47067,145797456,iNaturalist,09:02:00-05:00,wild,324778216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-80.143701,8.602112,"cdc,cdround",gbif,4015257923,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:40:25.125+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-05T00:14:33,171,NORTH_AMERICA,Coclé,2023,1,4,2023-01-04,2023-03-09T20:50:13.000+00:00,2023-08-18T13:40:25.125+00:00,https://www.inaturalist.org/observations/145862390,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Matt Cohen and Elizabeth Hargrave,Matt Cohen and Elizabeth Hargrave,WGS84,Mammalia,PA,Panama,Matt Cohen and Elizabeth Hargrave,145862390,mattandeliz,2023/01/04 2:49 PM,Observations,4015257923,"Anton Valley, Panama",https://www.inaturalist.org/observations/145862390,47067,145862390,iNaturalist,14:49:00-05:00,wild,324981107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-79.405959,9.22049,"cdc,cdround",gbif,4015024423,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,PA,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:21:23.236+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-09T21:16:31,42,NORTH_AMERICA,Panamá,2023,1,8,2023-01-08,2023-01-10T15:01:31.000+00:00,2023-08-18T13:21:23.236+00:00,https://www.inaturalist.org/observations/146228026,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Carla Calamari,Carla Calamari,WGS84,Mammalia,PA,Panama,Carla Calamari,146228026,carla_calamari,2023/01/08 2:17 PM,Observations,4015024423,"Los Altos de Cerro Azul, Panamá",https://www.inaturalist.org/observations/146228026,47067,146228026,iNaturalist,14:17:00-05:00,wild,326101455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.142525,9.382183,"cdc,cdround",gbif,4015370457,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:21:36.474+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-10T20:30:33,4,NORTH_AMERICA,Puntarenas,2023,1,7,2023-01-07,2023-01-10T20:38:12.000+00:00,2023-08-18T13:21:36.474+00:00,https://www.inaturalist.org/observations/146291093,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,laerkerk,laerkerk,WGS84,Mammalia,CR,Costa Rica,laerkerk,146291093,laerkerk,2023-01-07 10:04:52-06:00,Observations,4015370457,"Manuel Antonio National Park, Aguirre, Provincia de Puntarenas, CR",https://www.inaturalist.org/observations/146291093,47067,146291093,iNaturalist,10:04:52-06:00,wild,326341124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-83.527532,10.593711,"cdc,cdround",gbif,4015058516,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:40:50.175+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-10T22:12:07,NA,NORTH_AMERICA,Limón,2023,1,9,2023-01-09,2023-01-10T23:43:06.000+00:00,2023-08-18T13:40:50.175+00:00,https://www.inaturalist.org/observations/146296618,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Alex Lascher-Posner,Alex Lascher-Posner,WGS84,Mammalia,CR,Costa Rica,Alex Lascher-Posner,146296618,happyalex3,2023-01-09 11:33:22,Observations,4015058516,"HFVC+FW5, San Francisco de Tortuguero, Limón, Pococí, Costa Rica",https://www.inaturalist.org/observations/146296618,47067,146296618,iNaturalist,11:33:22-06:00,wild,326358167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.125173,10.416906000000001,"cdc,cdround",gbif,4018268850,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,CR,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:22:26.346+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-01-11T14:04:52,204,NORTH_AMERICA,Heredia,2023,1,10,2023-01-10,2023-01-11T14:47:07.000+00:00,2023-08-18T13:22:26.346+00:00,https://www.inaturalist.org/observations/146334770,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,sergiovillegas,sergiovillegas,WGS84,Mammalia,CR,Costa Rica,sergiovillegas,146334770,sergiovillegas,2023-01-10 11:23:46,Observations,4018268850,Tirimbina Rainforest Center,https://www.inaturalist.org/observations/146334770,47067,146334770,iNaturalist,11:23:46-06:00,wild,326480800,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA
