sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2012-03-30,9.14804,50.69448,Juvenile,35,26.21,35.63,Loggerhead
Caretta caretta,2011-04-12,6.40193,59.87883,Juvenile,3051,28.67,35.74,Loggerhead
Caretta caretta,2012-03-31,9.21307,50.82211,Juvenile,136,26.21,35.65,Loggerhead
Caretta caretta,2011-05-14,15.39172,55.71303,Juvenile,2784,27,36.09,Loggerhead
Chelonia mydas,2018-03-31,24.588,53.057,NA,2,27.91,38.67,Green
Chelonia mydas,2018-03-31,24.508,53.201,NA,14,27.96,38.71,Green
Chelonia mydas,2019-08-16,24.662,53.052,NA,3,27.91,38.67,Green
Caretta caretta,2011-04-05,15.47037,53.79018,Juvenile,2453,26.92,36.09,Loggerhead
Chelonia mydas,2017-04-27,24.407,52.928,NA,6,27.95,38.57,Green
Chelonia mydas,2019-10-07,24.213,51.794,NA,11,27.62,37.77,Green
Chelonia mydas,2016-09-24,25.752,55.885,NA,3,28.13,38.64,Green
Chelonia mydas,2019-05-28,24.577,53.083,NA,2,27.93,38.65,Green
Caretta caretta,2011-04-11,16.05778,54.28696,Juvenile,2736,26.92,36.1,Loggerhead
Caretta caretta,2011-04-13,14.43954,53.53113,Juvenile,2880,26.88,36.05,Loggerhead
Caretta caretta,2011-04-13,14.4571,53.56886,Juvenile,2307,26.88,36.05,Loggerhead
Caretta caretta,2012-05-13,16.85169,54.67421,Juvenile,1685,26.41,36.02,Loggerhead
Caretta caretta,2011-02-10,5.20539,54.0886,Juvenile,4699,27.81,35.52,Loggerhead
Caretta caretta,2011-04-16,13.41028,52.64899,Juvenile,2539,26.76,35.98,Loggerhead
Caretta caretta,2011-03-24,16.52469,53.83602,Juvenile,2030,26.68,36.05,Loggerhead
Chelonia mydas,2018-03-26,24.553,53.084,NA,2,27.94,38.67,Green
Caretta caretta,2012-02-12,16.57868,55.68429,Juvenile,3261,26.58,36.1,Loggerhead
Caretta caretta,2012-01-03,9.06831,57.87993,Juvenile,3925,27.77,35.88,Loggerhead
Chelonia mydas,2018-08-24,24.676,53.054,NA,9,27.91,38.69,Green
Chelonia mydas,2018-04-05,24.549,53.092,NA,2,27.94,38.67,Green
Chelonia mydas,2019-08-12,24.635,53.052,NA,2,27.91,38.67,Green
Chelonia mydas,2018-06-12,24.892,53.096,NA,13,27.86,38.7,Green
Chelonia mydas,2017-08-14,24.666,53.01,NA,11,27.91,38.67,Green
Chelonia mydas,2018-05-27,25.756,55.856,NA,3,28.13,38.64,Green
Caretta caretta,2011-04-03,15.27015,51.83907,Juvenile,173,26.95,36.01,Loggerhead
Caretta caretta,2011-04-06,5.15614,60.85992,Juvenile,3031,28.97,35.62,Loggerhead
Caretta caretta,2011-04-08,5.73884,60.62174,Juvenile,2542,28.88,35.67,Loggerhead
Caretta caretta,2011-02-19,16.19275,52.76334,Juvenile,1517,26.74,36.07,Loggerhead
Caretta caretta,2012-06-02,18.23886,58.58258,Juvenile,3423,26.69,36.21,Loggerhead
Chelonia mydas,2016-08-06,24.623,53.043,NA,2,27.91,38.67,Green
Chelonia mydas,2017-04-30,24.367,52.949,NA,4,27.95,38.57,Green
Chelonia mydas,2018-03-13,24.632,53.049,NA,2,27.91,38.67,Green
Caretta caretta,2011-04-08,15.69124,53.02688,Juvenile,2394,26.95,36.1,Loggerhead
Chelonia mydas,2016-06-02,24.717,52.871,NA,17,27.85,38.65,Green
Chelonia mydas,2016-12-22,24.586,54.42,NA,5,28.11,38.94,Green
Caretta caretta,2011-12-05,1.0748,54.71879,Juvenile,4911,28.42,35.36,Loggerhead
Chelonia mydas,2016-08-12,25.743,55.837,NA,4,NA,NA,Green
Chelonia mydas,2016-05-24,24.353,53.217,NA,3,28,38.67,Green
Caretta caretta,2011-05-03,15.26431,57.53205,Juvenile,4117,26.86,36.13,Loggerhead
Caretta caretta,2011-05-05,15.08042,58.17602,Juvenile,3934,26.9,36.14,Loggerhead
Chelonia mydas,2018-09-09,24.646,53.047,NA,2,27.91,38.67,Green
Caretta caretta,2011-05-18,16.64361,55.16039,Juvenile,2967,26.54,36.06,Loggerhead
Chelonia mydas,2019-08-31,25.969,51.413,NA,2,27.08,38.1,Green
Chelonia mydas,2018-04-08,24.377,54.007,NA,4,28.02,38.85,Green
Caretta caretta,2012-06-17,19.62521,62.05373,Juvenile,3557,27.05,36.35,Loggerhead
Chelonia mydas,2019-08-29,24.491,53.003,NA,8,27.96,38.64,Green
Chelonia mydas,2016-09-18,24.235,53.577,NA,4,28,38.73,Green
Caretta caretta,2011-07-28,10.42022,60.16939,Juvenile,4787,27.8,36.13,Loggerhead
Chelonia mydas,2017-06-25,24.349,53.97,NA,5,28.03,38.85,Green
Chelonia mydas,2018-04-04,24.636,53.051,NA,2,27.91,38.67,Green
Chelonia mydas,2017-08-28,25.391,54.764,NA,33,28.3,38.82,Green
Caretta caretta,2012-06-02,18.23751,58.58029,Juvenile,3423,26.69,36.21,Loggerhead
Caretta caretta,2012-01-14,10.94428,55.77294,Juvenile,4135,27.05,35.94,Loggerhead
Chelonia mydas,2018-03-26,24.574,53.044,NA,2,27.93,38.65,Green
Caretta caretta,2012-05-16,16.09641,54.71895,Juvenile,2833,26.88,36.1,Loggerhead
Caretta caretta,2011-03-29,4.47761,62.29318,Juvenile,3046,29.15,35.51,Loggerhead
Caretta caretta,2011-02-01,13.36184,55.95319,Juvenile,3519,26.82,36.06,Loggerhead
Chelonia mydas,2016-11-06,24.108,53.67,NA,25,27.98,38.77,Green
Caretta caretta,2011-04-30,14.98281,56.53298,Juvenile,2983,26.92,36.12,Loggerhead
Chelonia mydas,2017-04-07,24.19,53.161,NA,3,27.97,38.6,Green
Chelonia mydas,2016-08-10,24.669,53.038,NA,10,27.91,38.69,Green
Caretta caretta,2012-04-05,15.71395,55.531,Juvenile,3601,26.96,36.09,Loggerhead
Chelonia mydas,2017-06-01,24.644,53.048,NA,2,27.91,38.67,Green
Chelonia mydas,2016-08-04,25.784,55.838,NA,6,28.13,38.64,Green
Caretta caretta,2011-02-16,16.39339,52.9586,Juvenile,1824,26.75,36.07,Loggerhead
Caretta caretta,2011-03-01,14.66338,52.48091,Juvenile,2554,27.08,36.04,Loggerhead
